dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,CumulativeCases,CumulativeDeaths,AvgCasesPerCapita,AvgDeathsPerCapita
19/06/2020,19,6,2020,658,42.0,Afghanistan,AF,AFG,38041757,Asia,658,42.0,1.7296782585515175e-05,1.104049952266926e-06
18/06/2020,18,6,2020,564,13.0,Afghanistan,AF,AFG,38041757,Asia,1222,55.0,1.4825813644727293e-05,3.41729747130239e-07
17/06/2020,17,6,2020,783,13.0,Afghanistan,AF,AFG,38041757,Asia,2005,68.0,2.058264553869055e-05,3.41729747130239e-07
16/06/2020,16,6,2020,761,7.0,Afghanistan,AF,AFG,38041757,Asia,2766,75.0,2.0004333658931685e-05,1.84008325377821e-07
15/06/2020,15,6,2020,664,20.0,Afghanistan,AF,AFG,38041757,Asia,3430,95.0,1.745450400726759e-05,5.2573807250806e-07
14/06/2020,14,6,2020,556,5.0,Afghanistan,AF,AFG,38041757,Asia,3986,100.0,1.4615518415724069e-05,1.31434518127015e-07
13/06/2020,13,6,2020,656,20.0,Afghanistan,AF,AFG,38041757,Asia,4642,120.0,1.724420877826437e-05,5.2573807250806e-07
12/06/2020,12,6,2020,747,21.0,Afghanistan,AF,AFG,38041757,Asia,5389,141.0,1.9636317008176043e-05,5.52024976133463e-07
11/06/2020,11,6,2020,684,21.0,Afghanistan,AF,AFG,38041757,Asia,6073,162.0,1.7980242079775653e-05,5.52024976133463e-07
10/06/2020,10,6,2020,542,15.0,Afghanistan,AF,AFG,38041757,Asia,6615,177.0,1.4247501764968426e-05,3.9430355438104503e-07
09/06/2020,9,6,2020,575,12.0,Afghanistan,AF,AFG,38041757,Asia,7190,189.0,1.5114969584606726e-05,3.15442843504836e-07
08/06/2020,8,6,2020,791,30.0,Afghanistan,AF,AFG,38041757,Asia,7981,219.0,2.0792940767693775e-05,7.886071087620901e-07
07/06/2020,7,6,2020,582,18.0,Afghanistan,AF,AFG,38041757,Asia,8563,237.0,1.5298977909984545e-05,4.73164265257254e-07
06/06/2020,6,6,2020,915,9.0,Afghanistan,AF,AFG,38041757,Asia,9478,246.0,2.4052516817243745e-05,2.36582132628627e-07
05/06/2020,5,6,2020,787,6.0,Afghanistan,AF,AFG,38041757,Asia,10265,252.0,2.0687793153192163e-05,1.57721421752418e-07
04/06/2020,4,6,2020,758,24.0,Afghanistan,AF,AFG,38041757,Asia,11023,276.0,1.9925472948055474e-05,6.30885687009672e-07
03/06/2020,3,6,2020,759,5.0,Afghanistan,AF,AFG,38041757,Asia,11782,281.0,1.9951759851680877e-05,1.31434518127015e-07
02/06/2020,2,6,2020,545,8.0,Afghanistan,AF,AFG,38041757,Asia,12327,289.0,1.4326362475844636e-05,2.1029522900322402e-07
01/06/2020,1,6,2020,680,8.0,Afghanistan,AF,AFG,38041757,Asia,13007,297.0,1.787509446527404e-05,2.1029522900322402e-07
31/05/2020,31,5,2020,866,3.0,Afghanistan,AF,AFG,38041757,Asia,13873,300.0,2.2764458539599e-05,7.8860710876209e-08
30/05/2020,30,5,2020,623,11.0,Afghanistan,AF,AFG,38041757,Asia,14496,311.0,1.637674095862607e-05,2.8915593987943303e-07
29/05/2020,29,5,2020,580,8.0,Afghanistan,AF,AFG,38041757,Asia,15076,319.0,1.524640410273374e-05,2.1029522900322402e-07
28/05/2020,28,5,2020,625,7.0,Afghanistan,AF,AFG,38041757,Asia,15701,326.0,1.6429314765876874e-05,1.84008325377821e-07
27/05/2020,27,5,2020,658,1.0,Afghanistan,AF,AFG,38041757,Asia,16359,327.0,1.7296782585515175e-05,2.6286903625403003e-08
26/05/2020,26,5,2020,591,1.0,Afghanistan,AF,AFG,38041757,Asia,16950,328.0,1.5535560042613175e-05,2.6286903625403003e-08
25/05/2020,25,5,2020,584,2.0,Afghanistan,AF,AFG,38041757,Asia,17534,330.0,1.5351551717235353e-05,5.2573807250806005e-08
24/05/2020,24,5,2020,782,11.0,Afghanistan,AF,AFG,38041757,Asia,18316,341.0,2.0556358635065148e-05,2.8915593987943303e-07
23/05/2020,23,5,2020,540,12.0,Afghanistan,AF,AFG,38041757,Asia,18856,353.0,1.4194927957717621e-05,3.15442843504836e-07
22/05/2020,22,5,2020,531,6.0,Afghanistan,AF,AFG,38041757,Asia,19387,359.0,1.3958345825088993e-05,1.57721421752418e-07
21/05/2020,21,5,2020,492,9.0,Afghanistan,AF,AFG,38041757,Asia,19879,368.0,1.2933156583698276e-05,2.36582132628627e-07
20/05/2020,20,5,2020,581,5.0,Afghanistan,AF,AFG,38041757,Asia,20460,373.0,1.5272691006359143e-05,1.31434518127015e-07
19/05/2020,19,5,2020,408,4.0,Afghanistan,AF,AFG,38041757,Asia,20868,377.0,1.0725056679164425e-05,1.0514761450161201e-07
18/05/2020,18,5,2020,262,1.0,Afghanistan,AF,AFG,38041757,Asia,21130,378.0,6.887168749855586e-06,2.6286903625403003e-08
17/05/2020,17,5,2020,0,0.0,Afghanistan,AF,AFG,38041757,Asia,21130,378.0,0.0,0.0
16/05/2020,16,5,2020,1063,32.0,Afghanistan,AF,AFG,38041757,Asia,22193,410.0,2.794297855380339e-05,8.411809160128961e-07
15/05/2020,15,5,2020,113,6.0,Afghanistan,AF,AFG,38041757,Asia,22306,416.0,2.970420109670539e-06,1.57721421752418e-07
14/05/2020,14,5,2020,259,3.0,Afghanistan,AF,AFG,38041757,Asia,22565,419.0,6.808308038979377e-06,7.8860710876209e-08
13/05/2020,13,5,2020,280,5.0,Afghanistan,AF,AFG,38041757,Asia,22845,424.0,7.3603330151128405e-06,1.31434518127015e-07
12/05/2020,12,5,2020,285,2.0,Afghanistan,AF,AFG,38041757,Asia,23130,426.0,7.491767533239855e-06,5.2573807250806005e-08
11/05/2020,11,5,2020,369,5.0,Afghanistan,AF,AFG,38041757,Asia,23499,431.0,9.699867437773708e-06,1.31434518127015e-07
10/05/2020,10,5,2020,255,6.0,Afghanistan,AF,AFG,38041757,Asia,23754,437.0,6.703160424477766e-06,1.57721421752418e-07
09/05/2020,9,5,2020,215,3.0,Afghanistan,AF,AFG,38041757,Asia,23969,440.0,5.6516842794616455e-06,7.8860710876209e-08
08/05/2020,8,5,2020,171,2.0,Afghanistan,AF,AFG,38041757,Asia,24140,442.0,4.495060519943913e-06,5.2573807250806005e-08
07/05/2020,7,5,2020,168,9.0,Afghanistan,AF,AFG,38041757,Asia,24308,451.0,4.416199809067704e-06,2.36582132628627e-07
06/05/2020,6,5,2020,330,5.0,Afghanistan,AF,AFG,38041757,Asia,24638,456.0,8.67467819638299e-06,1.31434518127015e-07
05/05/2020,5,5,2020,190,5.0,Afghanistan,AF,AFG,38041757,Asia,24828,461.0,4.994511688826571e-06,1.31434518127015e-07
04/05/2020,4,5,2020,235,13.0,Afghanistan,AF,AFG,38041757,Asia,25063,474.0,6.177422351969705e-06,3.41729747130239e-07
03/05/2020,3,5,2020,134,4.0,Afghanistan,AF,AFG,38041757,Asia,25197,478.0,3.5224450858040023e-06,1.0514761450161201e-07
02/05/2020,2,5,2020,164,4.0,Afghanistan,AF,AFG,38041757,Asia,25361,482.0,4.3110521945660926e-06,1.0514761450161201e-07
01/05/2020,1,5,2020,222,4.0,Afghanistan,AF,AFG,38041757,Asia,25583,486.0,5.835692604839466e-06,1.0514761450161201e-07
30/04/2020,30,4,2020,122,0.0,Afghanistan,AF,AFG,38041757,Asia,25705,486.0,3.207002242299166e-06,0.0
29/04/2020,29,4,2020,124,3.0,Afghanistan,AF,AFG,38041757,Asia,25829,489.0,3.259576049549972e-06,7.8860710876209e-08
28/04/2020,28,4,2020,172,0.0,Afghanistan,AF,AFG,38041757,Asia,26001,489.0,4.521347423569316e-06,0.0
27/04/2020,27,4,2020,68,10.0,Afghanistan,AF,AFG,38041757,Asia,26069,499.0,1.787509446527404e-06,2.6286903625403e-07
26/04/2020,26,4,2020,112,4.0,Afghanistan,AF,AFG,38041757,Asia,26181,503.0,2.944133206045136e-06,1.0514761450161201e-07
25/04/2020,25,4,2020,70,1.0,Afghanistan,AF,AFG,38041757,Asia,26251,504.0,1.8400832537782101e-06,2.6286903625403003e-08
24/04/2020,24,4,2020,105,2.0,Afghanistan,AF,AFG,38041757,Asia,26356,506.0,2.760124880667315e-06,5.2573807250806005e-08
23/04/2020,23,4,2020,84,4.0,Afghanistan,AF,AFG,38041757,Asia,26440,510.0,2.208099904533852e-06,1.0514761450161201e-07
22/04/2020,22,4,2020,61,1.0,Afghanistan,AF,AFG,38041757,Asia,26501,511.0,1.603501121149583e-06,2.6286903625403003e-08
21/04/2020,21,4,2020,35,2.0,Afghanistan,AF,AFG,38041757,Asia,26536,513.0,9.200416268891051e-07,5.2573807250806005e-08
20/04/2020,20,4,2020,88,3.0,Afghanistan,AF,AFG,38041757,Asia,26624,516.0,2.3132475190354643e-06,7.8860710876209e-08
19/04/2020,19,4,2020,63,0.0,Afghanistan,AF,AFG,38041757,Asia,26687,516.0,1.656074928400389e-06,0.0
18/04/2020,18,4,2020,51,1.0,Afghanistan,AF,AFG,38041757,Asia,26738,517.0,1.3406320848955532e-06,2.6286903625403003e-08
17/04/2020,17,4,2020,10,4.0,Afghanistan,AF,AFG,38041757,Asia,26748,521.0,2.6286903625403e-07,1.0514761450161201e-07
16/04/2020,16,4,2020,70,2.0,Afghanistan,AF,AFG,38041757,Asia,26818,523.0,1.8400832537782101e-06,5.2573807250806005e-08
15/04/2020,15,4,2020,49,2.0,Afghanistan,AF,AFG,38041757,Asia,26867,525.0,1.288058277644747e-06,5.2573807250806005e-08
